Year,Both sexes,Men,Women,
1946,3.4,3.7,2.4,
1947,2.2,2.4,1.7,
1948,2.3,2.4,1.8,
1949,2.8,3.1,1.8,
1950,3.6,3.9,2.4,
1951,2.4,2.5,2.1,
1952,2.9,3.1,2.2,
1953,3,3.4,1.6,
1954,4.6,5.1,2.6,
1955,4.4,4.9,2.6,
1956,3.4,3.9,1.9,
1957,4.6,5.3,2.3,
1958,7,8.1,3.6,
1959,6,6.9,3,
1960,7,8.1,3.6,
1961,7.1,8.4,3.7,
1962,5.9,6.9,3.3,
1963,5.5,6.4,3.3,
1964,4.7,5.3,3.1,
1965,3.9,4.4,2.7,
1966,3.4,3.3,3.4,
1967,3.8,3.9,3.7,
1968,4.5,4.6,4.4,
1969,4.4,4.3,4.7,
1970,5.7,5.6,5.8,
1971,6.2,6,6.6,
1972,6.2,5.8,7,
1973,5.5,4.9,6.7,
1974,5.3,4.8,6.4,
1975,6.9,6.2,8.1,
1976,7.1,6.4,8.2,
1977,8,7.4,9.2,
1978,8.4,7.6,9.5,
1979,7.5,6.8,8.7,
1980,7.5,7,8.3,
1981,7.6,7.2,8.3,
1982,11,11.2,10.7,
1983,12,12.3,11.6,
1984,11.3,11.4,11.3,
1985,10.5,10.5,10.6,
1986,9.6,9.5,9.8,
1987,8.8,8.5,9.2,
1988,7.8,7.4,8.2,
1989,7.5,7.4,7.8,
1990,8.1,8.2,8.1,
1991,10.3,10.8,9.7,
1992,11.2,12,10.2,
1993,11.4,11.9,10.7,
1994,10.4,10.9,9.8,
1995,9.5,9.8,9.1,
1996,9.6,9.9,9.3,
1997,9.1,9.3,8.9,
1998,8.3,8.5,8,
1999,7.6,7.8,7.3,
2000,6.8,6.9,6.7,
2001,7.2,7.5,6.9,
2002,7.7,8.1,7.1,
2003,7.6,7.9,7.2,
2004,7.2,7.5,6.9,
2005,6.8,7,6.5,
2006,6.3,6.5,6.1,
2007,6,6.4,5.6,
2008,6.1,6.6,5.7,
2009,8.3,9.5,7,
2010,8.1,8.8,7.2,
2011,7.5,8,7,
2012,7.3,7.7,6.8,
2013,7.1,7.5,6.6,
2014,6.9,7.4,6.4,
2015,6.9,7.5,6.3,
"Notes: From 1946 to 1965, rates are based on the population aged 14 years and older. From 1966 to 2015, rates are based on the population aged 15 years and older. Newfoundland was included in the LFS in the fourth quarter of 1949.
Source: Statistics Canada, Labour Force Survey, annual averages.",,,,